vowel|samog≥oska|
diarrhoea|biegunka|
constipation|zatwardzenie|
pronounce|wymawiaÊ|
stroke|udar|
triple bypass|pomostowanie aortalno-wieÒcowe|
hepatitis|øÛ≥taczka|
sprain|skrÍciÊ|
pneumonia|zapalenie p≥uc|
cough|kaszleÊ|
rheumatism|reumatyzm|
arthritis|reumatyzm| zapalenie stawÛw|
epilepsy|padaczka| epilepsja|
sneeze|kichaÊ|
rash|wysypka|
sore throat|bolπce gard≥o|
temperature|gorπczka|
earache|bÛl ucha|
chest pains |bÛl w klatce piersiowej|
toothache|bÛl zÍba|
My ankle is swollen|Moja kostka jest spuchniÍta|
dizzy|zawroty g≥owy|
shivers|dreszcze|
itch|swÍdzieÊ|
hangover|kac|
blister|bπbel| pÍcherz|
hay fever|katar sienny|
bruise|siniak|
indigestion|niestrawnoúÊ|k≥opoty z trawieniem
injection|zastrzyk|
health insurance|ubezpieczenie zdrowotne|
plaster cast|gibs|
to throw up|wymiotowaÊ|
twist|skrÍciÊ|
swollen|spuchniÍty| wezbrany|
increasingly|coraz (bardziej lub czÍúciej)|
depend upon|polegaÊ na kimú/czymú| zaleøeÊ od kogoú/czegoú|
ground-breaking|prze≥omowy|
accurate|dok≥adny|
external |zewnÍtrzny| niezaleøny|
properly |prawid≥owo| odpowiednio|
free weights|wolne ciÍøary|sztangi| hantle
air-conditioning|klimatyzacja|
facilities |zaplecze| wyposaøenie|
paragliding|paralotniarstwo|
spectator|widz|
net|siatka|
course|tor| pole|
court|boisko| kort|
pitch|miotacz| rzucaÊ pi≥kÍ|
rink|lodowisko| tor|
track|bieønia|
pursuit|pogoÒ|
diversion|rozrywka|
commitment|zaangaøowanie|
obedience|pos≥uszeÒstwo|
enclosed|ogrodzony|
sedentary|siedzπcy|
undemanding|niewymagajπcy|
intramural|uczelniany|
interscholastic|miÍdzyszkolny|
bustling|wybuchowy|
sketch|szkic|
watercolour painting|akwarela|
self-portrait|autoportret|
canvas|p≥Ûtno|
temporary|tymczasowy|
display|ekspozycja|
devoted|oddany|
exhibition|wystawa|
entrance|wejúcie|
insufficient|niewystarczajπcy|
preferable|lepszy|
dithered|niepe≥ny (o kolorze)|
high-fidelity|wysoka wiernoúÊ|
insufficient|niewystarczajπcy|
degradation in image quality|pogorszenie siÍ jakoúci obrazu|
mayhem|chaos| zamÍt|
insanity|ob≥Íd| szaleÒstwo|
venue|miejsce| lokalizacja|
sanity|zdrowy rozsπdek|
madness|szaleÒstwo|
common sense|zdrowy rozsπdek|
haemorrhage|krwotok|
vowel|samog≥oska|
novel|powieúÊ|
volume|tom|
to come out|ukazaÊ siÍ|o ksiπøce
encyclopaedia|encyklopedia|
manuscript|manuskrypt| rÍkopis|
cover|ok≥adka|
poem|wiersz|
